X0	Y0	V0	Курс				
-1367,0106	378,84796	-1,9	298				
Время	Обороты	Руль					
3060	-1000	-2					
3061	-1000	-4					
3062	-1000	-6					
3063	-1000	-8					
3064	-1000	-8					
3065	-1000	-10					
3066	-1000	-10					
3067	-1000	-12					
3068	-1000	-12					
3069	-1000	-14					
3070	-1000	-14					
3071	-1000	-14					
3072	-1000	-14					
3073	-1000	-14					
3074	-1000	-14					
3075	-1000	-14					
3076	-1000	-14					
3077	-1000	-14					
3078	-1000	-14					
3079	-1000	-14					
3080	-1000	-14					
3081	-1000	-14					
3082	-1000	-14					
3083	-1000	-14					
3084	-1000	-14					
3085	-1000	-14					
3086	-1000	-14					
3087	-1000	-14					
3088	-1000	-14					
3089	-1000	-14					
3090	-1000	-14					
3091	-1000	-14					
3092	-1000	-14					
3093	-1000	-14					
3094	-1000	-14					
3095	-1000	-14					
3096	-1000	-14					
3097	-1000	-14					
3098	-1000	-14					
3099	-1000	-14					
3100	-1000	-14					
3101	-1000	-14					
3102	-1000	-14					
3103	-1000	-14					
3104	-1000	-14					
3105	-1000	-14					
3106	-1000	-14					
3107	-1000	-14					
3108	-1000	-14					
3109	-1000	-14					
3110	-1000	-14					
3111	-1000	-14					
3112	-1000	-14					
3113	-1000	-14					
3114	-1000	-14					
3115	-1000	-14					
3116	-1000	-14					
3117	-1000	-14					
3118	-1000	-14					
3119	-1000	-14					
3120	-1000	-14					
3121	-1000	-14					
3122	-1000	-14					
3123	-1000	-14					
3124	-1000	-14					
3125	-1000	-14					
3126	-1000	-14					
3127	-1000	-14					
3128	-1000	-14					
3129	-1000	-14					
3130	-1000	-14					
3131	-1000	-14					
3132	-1000	-14					
3133	-1000	-14					
3134	-1000	-14					
3135	-1000	-14					
3136	-1000	-14					
3137	-1000	-14					
3138	-1000	-14					
3139	-1000	-14					
3140	-1000	-14					
3141	-1000	-14					
3142	-1000	-14					
3143	-1000	-14					
3144	-1000	-14					
3145	-1000	-14					
3146	-1000	-14					
3147	-1000	-14					
3148	-1000	-14					
3149	-1000	-14					
3150	-1000	-14					
3151	-1000	-14					
3152	-1000	-14					
3153	-1000	-14					
3154	-1000	-14					
3155	-1000	-14					
3156	-1000	-14					
3157	-1000	-14					
3158	-1000	-14					
3159	-1000	-14					
3160	-1000	-14					
3161	-1000	-14					
3162	-1000	-14					
3163	-1000	-14					
3164	-1000	-14					
3165	-1000	-14					
3166	-1000	-14					
3167	-1000	-14					
3168	-1000	-14					
3169	-1000	-14					
3170	-1000	-14					
3171	-1000	-14					
3172	-1000	-14					
3173	-1000	-14					
3174	-1000	-14					
3175	-1000	-14					
3176	-1000	-14					
3177	-1000	-14					
3178	-1000	-14					
3179	-1000	-14					
3180	-1000	-14					
3181	-1000	-14					
3182	-1000	-14					
3183	-1000	-14					
3184	-1000	-14					
3185	-1000	-14					
3186	-1000	-14					
3187	-1000	-14					
3188	-1000	-14					
3189	-1000	-14					
3190	-1000	-14					
3191	-1000	-14					
3192	-1000	-14					
3193	-1000	-14					
3194	-1000	-14					
3195	-1000	-14					
3196	-1000	-14					
3197	-1000	-14					
3198	-1000	-14					
3199	-1000	-14					
3200	-1000	-14					
3201	-1000	-14					
3202	-1000	-14					
3203	-1000	-14					
3204	-1000	-14					
3205	-1000	-14					
3206	-1000	-14					
3207	-1000	-14					
3208	-1000	-14					
3209	-1000	-14					
3210	-1000	-14					
3211	-1000	-14					
3212	-1000	-14					
3213	-1000	-14					
3214	-1000	-14					
3215	-1000	-14					
3216	-1000	-14					
3217	-1000	-14					
3218	-1000	-14					
3219	-1000	-14					
3220	-1000	-14					
3221	-1000	-14					
3222	-1000	-14					
3223	-1000	-12					
3224	-1000	-6					
3225	-1000	-2					
3230	-1000	0
3250	-1000	0
