T	X	Y
1776	-306,37024	546,18665
1777	-308,51102	545,7619
1778	-311,12753	545,7619
1779	-314,2198	545,7619
1780	-317,07416	545,3372
1781	-320,40427	544,9125
1782	-323,49652	544,9125
1783	-326,58878	545,3372
1784	-330,15674	544,9125
1785	-333,9626	544,4878
1786	-337,76843	543,63837
1787	-341,3364	542,7889
1788	-344,6665	542,7889
1789	-348,47235	542,3642
1790	-352,2782	542,3642
1791	-356,3219	541,93945
1792	-360,3656	541,5148
1793	-364,17145	541,09
1794	-367,9773	540,2406
1795	-371,78314	539,81586
1796	-375,82684	539,3912
1797	-379,87054	539,3912
1798	-383,91425	538,96643
1799	-387,95798	538,96643
1800	-392,00168	538,54175
1801	-396,04538	538,117
1802	-400,08908	537,6923
1803	-403,89493	537,2676
1804	-407,70078	536,41815
1805	-411,5066	535,9934
1806	-415,55032	535,144
1807	-419,35614	534,29456
1808	-423,39987	533,0204
1809	-427,44357	532,17096
1810	-431,24942	530,89685
1811	-435,05524	530,04736
1812	-439,09897	529,19794
1813	-442,9048	527,9238
1814	-446,94852	527,07434
1815	-450,99222	526,2249
1816	-455,03592	524,9508
1817	-458,84177	524,1013
1818	-462,6476	523,2519
1819	-466,45343	522,40247
1820	-470,25928	521,9778
1821	-474,06512	521,1283
1822	-477,39523	520,2789
1823	-480,96323	519,8542
1824	-484,29333	519,00476
1825	-487,62344	518,58
1826	-490,71567	518,1553
1827	-493,80792	517,7306
1828	-496,90018	517,30585
1829	-499,99243	516,4564
1830	-502,8468	516,03174
1831	-505,70117	515,18225
1832	-508,3177	515,18225
1833	-510,9342	514,3328
1834	-513,5507	513,90814
1835	-516,16724	513,4834
1836	-518,5459	513,0587
1837	-520,6867	512,634
1838	-523,3032	512,634
1839	-525,6818	512,2092
1840	-527,82263	511,78455
1841	-530,2013	511,3598
1842	-532,57996	510,9351
1843	-534,9586	510,9351
1844	-537,09937	510,51038
1845	-539,2402	510,08566
1846	-541,3809	509,66095
1847	-543,2839	509,66095
1848	-545,18677	509,23624
1849	-547,0897	508,81152
1850	-548,9926	508,38678
1851	-550,89557	507,96207
1852	-552,5606	507,53735
1853	-554,22565	506,68793
1854	-556,1286	506,68793
1855	-557,79364	506,2632
1856	-559,4587	506,2632
1857	-561,1237	505,8385
1858	-562,7888	505,4138
1859	-564,216	505,4138
1860	-565,6432	505,4138
1861	-567,3082	504,98904
1862	-568,7354	504,98904
1863	-570,4005	504,56433
1864	-572,06555	504,13962
1865	-573,7306	503,7149
1866	-575,3956	503,2902
1867	-577,0607	502,86548
1868	-578,72577	502,86548
1869	-580,3908	502,44077
1870	-582,05585	502,01602
1871	-583,72095	502,01602
1872	-585,386	501,5913
1873	-586,8132	501,5913
1874	-588,24036	501,5913
1875	-589,9054	501,5913
1876	-591,33264	501,1666
1877	-592,7598	501,1666
1878	-594,187	500,74188
1880	-597,0414	500,31717
1881	-598,46857	500,74188
1882	-599,89575	500,74188
1883	-601,32294	500,74188
1884	-602,51227	501,1666
1885	-603,93945	501,1666
1886	-605,1288	501,1666
1887	-606,08026	501,1666
1888	-607,2696	501,1666
1889	-608,4589	500,74188
1890	-609,64825	500,74188
1891	-610,5997	500,31717
1892	-611,55115	500,31717
1893	-612,7405	499,89246
1894	-613,9298	499,89246
1895	-615,11914	499,46774
1896	-616,3085	499,46774
1897	-617,4978	499,46774
1898	-618,925	499,043
1899	-620,1143	499,043
1900	-621,06573	498,6183
1901	-622,25507	498,6183
1902	-623,20654	498,6183
1903	-624,3959	498,19357
1905	-626,29877	498,19357
1906	-627,25024	498,19357
1908	-629,15314	498,19357
1910	-631,0561	498,19357
1911	-632,2454	498,19357
1912	-633,1969	498,19357
1913	-634,38617	498,19357
1914	-635,33765	498,6183
1916	-637,2406	498,6183
1918	-639,1435	499,043
1920	-640,80853	499,46774
1921	-641,76	499,89246
1923	-643,66296	500,74188
1924	-644,6144	501,1666
1925	-645,56586	501,1666
1926	-646,7552	501,5913
1927	-647,70667	502,01602
1928	-648,6581	502,01602
1929	-649,8474	502,44077
1930	-650,7989	502,01602
1932	-652,7018	501,5913
1934	-654,3669	501,5913
1936	-656,0319	501,1666
1938	-657,9348	501,1666
1940	-659,83777	500,74188
1942	-661,74066	500,31717
1944	-663,6436	499,89246
1946	-665,5465	499,89246
1947	-666,73584	499,89246
1948	-667,6873	499,46774
1950	-669,35236	499,46774
1952	-670,77954	499,46774
1954	-672,2067	499,89246
1956	-673,39606	499,89246
1958	-674,5854	499,89246
1960	-675,7747	499,89246
1962	-677,2019	499,89246
1964	-678,39124	499,89246
1966	-680,0563	499,89246
1968	-681,2456	499,46774
1970	-682,43494	499,46774
1972	-684,1	499,46774
1974	-685,52716	499,46774
1976	-686,9544	499,46774
1978	-688,8573	499,46774
1980	-690,2845	499,46774
1982	-691,9495	499,89246
1984	-693,8525	499,89246
1986	-695,27966	499,89246
1988	-696,469	500,31717
1993	-697,6583	499,89246
1995	-699,0855	499,89246
1997	-700,75055	500,31717
