T	X	Y
2296	-1108,6892	383,09515
2297	-1111,7814	380,54684
2298	-1114,6359	378,42325
2299	-1117,728	375,87494
2300	-1120,8203	373,75137
2301	-1123,6747	371,20306
2302	-1126,2913	368,65475
2303	-1129,1456	366,10645
2304	-1132,2378	363,55814
2305	-1135,8058	361,85928
2306	-1139,3738	360,1604
2307	-1143,4175	359,31097
2308	-1147,2234	359,7357
2309	-1151,0292	360,5851
2310	-1154,835	362,284
2311	-1157,9272	364,40756
2312	-1160,5438	366,95587
2313	-1162,4467	370,3536
2314	-1163,636	374,1761
2315	-1164,3496	377,99854
2316	-1164,1117	382,2457
2317	-1163,1603	386,06818
2318	-1161,4952	389,4659
2319	-1158,8787	392,86365
2320	-1156,0243	395,41196
2321	-1152,4564	397,1108
2322	-1148,4126	397,96027
2323	-1144,6068	398,8097
2324	-1140,5631	398,38498
2325	-1136,2815	397,1108
2326	-1132,7135	395,41196
2327	-1129,3834	393,28836
2328	-1126,529	390,74005
2329	-1124,3883	387,34232
2330	-1122,7233	384,3693
2331	-1121,5339	380,54684
2332	-1121,5339	377,1491
2333	-1122,2474	373,32663
2334	-1123,9126	369,9289
2335	-1126,2913	366,95587
2336	-1128,6698	363,98285
2337	-1131,5243	361,85928
2338	-1134,8544	360,5851
2339	-1138,4224	359,7357
2340	-1142,2281	359,31097
2341	-1145,7961	360,1604
2342	-1149,1262	361,43457
2343	-1152,4564	363,55814
2344	-1155,0729	366,53116
2345	-1157,4515	369,9289
2346	-1159,3545	373,32663
2347	-1161,0195	376,7244
2348	-1161,7332	380,12213
2349	-1161,7332	383,94458
2350	-1160,5438	388,19174
2351	-1158,403	391,5895
2352	-1155,7865	394,98724
2353	-1152,4564	397,53555
2354	-1148,8884	399,65912
2355	-1145,5582	401,358
2356	-1141,7524	401,7827
2357	-1137,7087	401,358
2358	-1133,9028	400,50858
2359	-1130,5728	399,2344
2360	-1127,4805	396,6861
2361	-1124,864	394,1378
2362	-1122,7233	391,16476
2363	-1121,296	387,76703
2364	-1120,8203	384,3693
2365	-1120,8203	380,54684
2366	-1121,7717	377,57382
2367	-1123,6747	374,1761
2368	-1126,2913	370,77835
2369	-1129,1456	368,23004
2370	-1132,2378	366,10645
2371	-1135,8058	364,40756
2372	-1139,1359	362,7087
2373	-1142,7039	361,00983
2374	-1146,034	359,7357
2375	-1149,6019	358,46155
2376	-1153,1699	357,18738
