X0	Y0	V0	Курс	Vx
-1371,0543	232,74516	-0,977972222	280	0
Время	Обороты	Руль		
3574	-350	0		
3575	-350	-2		
3576	-350	-6		
3577	-350	-12		
3578	-350	-14		
3579	-350	-16		
3580	-350	-16		
3581	-350	-16		
3582	-350	-18		
3583	-350	-20		
3584	-350	-20		
3585	-350	-20		
3586	-350	-20		
3587	-350	-20		
3588	-350	-20		
3589	-350	-20		
3590	-350	-20		
3591	-350	-20		
3592	-350	-20		
3593	-350	-20		
3594	-350	-20		
3595	-350	-20		
3596	-350	-20		
3597	-350	-20		
3598	-350	-20		
3599	-350	-20		
3600	-350	-20		
3601	-350	-20		
3602	-350	-20		
3603	-350	-20		
3604	-350	-20		
3605	-350	-20		
3606	-350	-20		
3607	-350	-20		
3608	-350	-20		
3609	-350	-20		
3610	-350	-20		
3611	-350	-20		
3612	-350	-20		
3613	-350	-20		
3614	-350	-20		
3615	-350	-20		
3616	-350	-20		
3617	-350	-20		
3618	-350	-20		
3619	-350	-20		
3620	-350	-20		
3621	-350	-20		
3622	-350	-20		
3623	-350	-20		
3624	-350	-20		
3625	-350	-20		
3626	-350	-20		
3627	-350	-20		
3628	-350	-20		
3629	-350	-20		
3630	-350	-20		
3631	-350	-20		
3632	-350	-20		
3633	-350	-20		
3634	-350	-20		
3635	-350	-20		
3636	-350	-20		
3637	-350	-20		
3638	-350	-20		
3639	-350	-20		
3640	-350	-20		
3641	-350	-20		
3642	-350	-20		
3643	-350	-20		
3644	-350	-20		
3645	-350	-20		
3646	-350	-20		
3647	-350	-20		
3648	-350	-20		
3649	-350	-20		
3650	-350	-20		
3651	-350	-20		
3652	-350	-20		
3653	-350	-20		
3654	-350	-20		
3655	-350	-20		
3656	-350	-20		
3657	-350	-20		
3658	-350	-20		
3659	-350	-20		
3660	-350	-20		
3661	-350	-20		
3662	-350	-20		
3663	-350	-20		
3664	-350	-20		
3665	-350	-20		
3666	-350	-20		
3667	-350	-20		
3668	-350	-20		
3669	-350	-20		
3670	-350	-20		
3671	-350	-20		
3672	-350	-20		
3673	-350	-20		
3674	-350	-20		
3675	-350	-20		
3676	-350	-20		
3677	-350	-20		
3678	-350	-20		
3679	-350	-20		
3680	-350	-20		
3681	-350	-20		
3682	-350	-20		
3683	-350	-20		
3684	-350	-20		
3685	-350	-20		
3686	-350	-20		
3687	-350	-20		
3688	-350	-20		
3689	-350	-20		
3690	-350	-20		
3691	-350	-20		
3692	-350	-20		
3693	-350	-20		
3694	-350	-20		
3695	-350	-20		
3696	-350	-20		
3697	-350	-20		
3698	-350	-20		
3699	-350	-20		
3700	-350	-20		
3701	-350	-20		
3702	-350	-20		
3703	-350	-20		
3704	-350	-20		
3705	-350	-20		
3706	-350	-20		
3707	-350	-20		
3708	-350	-20		
3709	-350	-20		
3710	-350	-20		
3711	-350	-20		
3712	-350	-20		
3713	-350	-20		
3714	-350	-20		
3715	-350	-20		
3716	-350	-20		
3717	-350	-20		
3718	-350	-20		
3719	-350	-20		
3720	-350	-20		
3721	-350	-20		
3722	-350	-20		
3723	-350	-20		
3724	-350	-20		
3725	-350	-20		
3726	-350	-20		
3727	-350	-20		
3728	-350	-20		
3729	-350	-20		
3730	-350	-20		
3731	-350	-20		
3732	-350	-20		
3733	-350	-20		
3734	-350	-20		
3735	-350	-20		
3736	-350	-20		
3737	-350	-20		
3738	-350	-20		
3739	-350	-20		
3740	-350	-20		
3741	-350	-20		
3742	-350	-20		
3743	-350	-20		
3744	-350	-20		
3745	-350	-20		
3746	-350	-20		
3747	-350	-20		
3748	-350	-20		
3749	-350	-20		
3750	-350	-20		
3751	-350	-20		
3752	-350	-20		
3753	-350	-20		
3754	-350	-20		
3755	-350	-20		
3756	-350	-20		
3757	-350	-20		
3758	-350	-20		
3759	-350	-20		
3760	-350	-20		
3761	-350	-20		
3762	-350	-20		
3763	-350	-20		
3764	-350	-20		
3765	-350	-20		
3766	-350	-20		
3767	-350	-20		
3768	-350	-20		
3769	-350	-20		
3770	-350	-20		
3771	-350	-20		
3772	-350	-20		
3773	-350	-20		
3774	-350	-20		
3775	-350	-20		
3776	-350	-20		
3777	-350	-20		
3778	-350	-20		
3779	-350	-20		
3780	-350	-20		
3781	-350	-20		
3782	-350	-20		
3783	-350	-20		
3784	1000	-20		
3785	1000	-20		
3786	1000	-20		
3787	1000	-20		
3788	1000	-20		
3789	1000	-20		
3790	1000	-20		
3791	1000	-20		
3792	1000	-20		
3793	1000	-20		
3794	1000	-20		
3795	1000	-20		
3796	1000	-20		
3797	1000	-20		
3798	1000	-20		
3799	1000	-12		
3800	1000	-10		
3801	1000	-4		
3802	1000	0		
3805	1000	0		
