X0	Y0	V0	Курс				
-1373,9088	228,49799	0,46325	303				
Время	Обороты	Руль					
3804	1000	0					
3805	1000	0					
3806	1000	0					
3807	1000	0					
3808	1000	0					
3809	1000	0					
3814	1000	0					
3819	1000	0					
3824	1000	0					
3829	1000	0					
3834	1000	0					
3839	1000	0					
3844	1000	0					
3849	0	0					
3854	0	0					
3859	0	0					
3864	0	0					
3869	0	0					
3874	0	0					
3879	0	0					
3884	0	0					
3889	0	0					
3894	-500	0					
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
