X0	Y0	V0	Курс	Vx
-1417,9138	291,78088	-2,007416667	21	0
Время	Обороты	Руль		
3276	-1000	-2		
3277	-1000	2		
3278	-1000	4		
3279	-1000	8		
3280	-1000	10		
3281	-1000	12		
3282	-1000	14		
3283	-1000	14		
3284	-1000	16		
3285	-1000	16		
3286	-1000	14		
3287	-1000	14		
3288	-1000	14		
3289	-1000	14		
3290	-1000	14		
3291	-1000	14		
3292	-1000	14		
3293	-1000	14		
3294	-1000	14		
3295	-1000	14		
3296	-1000	14		
3297	-1000	14		
3298	-1000	14		
3299	-1000	14		
3300	-1000	14		
3301	-1000	14		
3302	-1000	14		
3303	-1000	14		
3304	-1000	14		
3305	-1000	14		
3306	-1000	14		
3307	-1000	14		
3308	-1000	14		
3309	-1000	14		
3310	-1000	14		
3311	-1000	14		
3312	-1000	14		
3313	-1000	14		
3314	-1000	14		
3315	-1000	14		
3316	-1000	14		
3317	-1000	14		
3318	-1000	14		
3319	-1000	14		
3320	-1000	14		
3321	-1000	14		
3322	-1000	14		
3323	-1000	14		
3324	-1000	14		
3325	-1000	14		
3326	-1000	14		
3327	-1000	14		
3328	-1000	14		
3329	-1000	14		
3330	-1000	14		
3331	-1000	14		
3332	-1000	14		
3333	-1000	14		
3334	-1000	14		
3335	-1000	14		
3336	-1000	14		
3337	-1000	14		
3338	-1000	14		
3339	-1000	14		
3340	-1000	14		
3341	-1000	14		
3342	-1000	14		
3343	-1000	14		
3344	-1000	14		
3345	-1000	14		
3346	-1000	14		
3347	-1000	14		
3348	-1000	14		
3349	-1000	14		
3350	-1000	14		
3351	-1000	14		
3352	-1000	14		
3353	-1000	14		
3354	-1000	14		
3355	-1000	14		
3356	-1000	14		
3357	-1000	14		
3358	-1000	14		
3359	-1000	14		
3360	-1000	14		
3361	-1000	14		
3362	-1000	14		
3363	-1000	14		
3364	-1000	14		
3365	-1000	14		
3366	-1000	14		
3367	-1000	14		
3368	-1000	14		
3369	-1000	14		
3370	-1000	14		
3371	-1000	14		
3372	-1000	14		
3373	-1000	14		
3374	-1000	14		
3375	-1000	14		
3376	-1000	14		
3377	-1000	14		
3378	-1000	14		
3379	-1000	14		
3380	-1000	14		
3381	-1000	14		
3382	-1000	14		
3383	-1000	14		
3384	-1000	14		
3385	-1000	14		
3386	-1000	14		
3387	-1000	14		
3388	-1000	14		
3389	-1000	14		
3390	-1000	14		
3391	-1000	14		
3392	-1000	14		
3393	-1000	14		
3394	-1000	14		
3395	-1000	14		
3396	-1000	16		
3397	-1000	14		
3398	-1000	14		
3399	-1000	14		
3400	-1000	8		
3405	-1000	0		
3410	-1000	-2		
3411	-1000	-2
