X0	Y0	V0	Курс				
-1495,9336	279,03937	3,145289496	237				
Время	Обороты	Руль					
2547	1500	0					
2548	1500	4					
2549	1500	8					
2550	1500	10					
2551	1500	12					
2552	1500	16					
2553	1500	16					
2554	1500	18					
2555	1500	18					
2556	1500	20					
2557	1500	20					
2558	1500	20					
2559	1500	20					
2560	1500	20					
2561	1500	20					
2562	1500	20					
2563	1500	20					
2564	1500	20					
2565	1500	20					
2566	1500	20					
2567	1500	20					
2568	1500	20					
2569	1500	20					
2570	1500	20					
2571	1500	20					
2572	1500	20					
2573	1500	20					
2574	1500	20					
2575	1500	20					
2576	1500	20					
2577	1500	20					
2578	1500	20					
2579	1500	20					
2580	1500	20					
2581	1500	20					
2582	1500	20					
2583	1500	20					
2584	1500	20					
2585	1500	20					
2586	1500	20					
2587	1500	20					
2588	1500	20					
2589	1500	20					
2590	1500	20					
2591	1500	20					
2592	1500	20					
2593	1500	20					
2594	1500	20					
2595	1500	20					
2596	1500	20					
2597	1500	20					
2598	1500	20					
2599	1500	20					
2600	1500	20					
2601	1500	20					
2602	1500	20					
2603	1500	20					
2604	1500	20					
2605	1500	20					
2606	1500	20					
2607	1500	20					
2608	1500	20					
2609	1500	20					
2610	1500	18					
2611	1500	12					
2612	1500	8					
2613	1500	4					
2614	1500	2					
2615	1500	2					
2616	1500	0					
2626	1500	0					
							
							
