T	X	Y
2431	-1349,4087	362,7087
2432	-1352,5009	362,284
2433	-1355,5931	361,85928
2434	-1358,9232	361,43457
2435	-1362,2534	361,00983
2436	-1365,3456	360,5851
2437	-1368,4379	359,7357
2438	-1371,5302	359,31097
2439	-1374,6223	358,88626
2440	-1377,9525	358,46155
2441	-1381,2826	357,6121
2442	-1384,6127	356,33795
2443	-1387,705	354,63907
2444	-1390,5593	352,09076
2445	-1392,938	349,11774
2446	-1394,841	345,2953
2447	-1395,5544	341,47284
2448	-1395,0787	338,0751
2449	-1394,1273	334,25262
2450	-1391,7487	330,8549
2451	-1388,6564	327,45715
2452	-1385,3263	324,48413
2453	-1381,9962	322,78528
2454	-1378,666	321,93582
2455	-1375,0981	321,93582
2456	-1371,768	322,36053
2457	-1368,4379	323,6347
2458	-1365,8213	325,33356
2459	-1363,4427	327,45715
2460	-1362,0155	330,00546
2461	-1361,0641	333,4032
2462	-1361,0641	335,9515
2463	-1361,7776	338,92453
2464	-1363,4427	341,89755
2465	-1365,5835	344,44586
2466	-1367,7242	346,99417
2467	-1370,1029	349,11774
2468	-1372,9573	350,3919
2469	-1376,0496	350,81662
2470	-1379,3796	351,66605
2471	-1382,7097	351,66605
2472	-1385,802	350,81662
2473	-1388,4186	349,11774
2474	-1390,0836	346,99417
2475	-1390,7972	344,44586
2476	-1390,7972	341,47284
2477	-1390,5593	338,49982
2478	-1389,37	335,5268
2479	-1387,9427	332,55377
2480	-1385,802	330,00546
2481	-1383,4233	327,88187
2482	-1380,8069	326,183
2483	-1377,9525	325,33356
2484	-1375,3359	324,90884
2485	-1372,7195	324,90884
2486	-1370,3408	326,183
2487	-1367,7242	327,45715
2488	-1365,5835	329,15604
2489	-1363,9185	331,2796
2490	-1362,4912	333,8279
2491	-1361,5398	336,37622
2492	-1361,5398	339,77396
2493	-1362,2534	342,74698
2494	-1363,6805	345,72
2495	-1365,3456	347,8436
2496	-1367,9622	349,9672
2497	-1370,8165	351,66605
2498	-1373,9088	352,09076
2499	-1377,2389	352,09076
2500	-1380,3312	351,24133
2501	-1383,4233	350,3919
2502	-1386,0399	348,69302
2503	-1388,1807	346,56946
2504	-1390,0836	344,44586
