X0	Y0	V0	Курс	Vx
-1502,118	343,1717	-0,435537638	314	0
Время	Обороты	Руль		
3946	-500	0		
3947	-500	0		
3948	-500	0		
3949	-500	4		
3950	-500	6		
3951	-500	14		
3952	-500	14		
3953	-500	18		
3954	-500	18		
3955	-500	20		
3956	-500	20		
3957	-500	20		
3958	-500	20		
3959	-500	20		
3960	-500	20		
3961	-500	20		
3962	-500	20		
3963	-500	20		
3964	-500	20		
3965	-500	20		
3966	-500	20		
3967	-500	20		
3968	-500	20		
3969	-500	20		
3970	-500	20		
3971	-500	20		
3972	-500	20		
3973	-500	20		
3974	-500	20		
3975	-500	20		
3976	-500	20		
3977	-500	20		
3978	-500	20		
3979	-500	20		
3980	-500	20		
3981	-500	20		
3982	-500	20		
3983	-500	20		
3984	-500	20		
3985	-500	20		
3986	-500	20		
3987	-500	20		
3988	-500	20		
3989	-500	20		
3990	-500	20		
3991	-500	20		
3992	-500	20		
3993	-500	20		
3994	-500	20		
3995	-500	20		
3996	-500	20		
3997	-500	20		
3998	-500	20		
3999	-500	20		
4000	-500	20		
4001	-500	20		
4002	-500	20		
4003	-500	20		
4004	-500	20		
4005	-500	20		
4006	-500	20		
4007	-500	20		
4008	-500	20		
4009	-500	20		
4010	-500	20		
4011	-500	20		
4012	-500	20		
4013	-500	20		
4014	-500	20		
4015	-500	20		
4016	-500	20		
4017	-500	20		
4018	-500	20		
4019	-500	20		
4020	-500	20		
4021	-500	20		
4022	-500	20		
4023	-500	20		
4024	-500	20		
4025	-500	20		
4026	-500	20		
4027	-500	20		
4028	-500	20		
4029	-500	20		
4030	-500	20		
4031	-500	20		
4032	-500	20		
4033	-500	20		
4034	-500	20		
4035	-500	20		
4036	-500	20		
4037	-500	20		
4038	-500	20		
4039	-500	20		
4040	-500	20		
4041	-500	20		
4042	-500	20		
4043	-500	20		
4044	-500	20		
4045	-500	20		
4046	-500	20		
4047	-500	20		
4048	-500	20		
4049	-500	20		
4050	-500	20		
4051	-500	20		
4052	-500	20		
4053	-500	20		
4054	-500	20		
4055	-500	20		
4056	-500	20		
4057	-500	20		
4058	-500	20		
4059	-500	20		
4060	-500	20		
4061	-500	20		
4062	-500	20		
4063	-500	20		
4064	-500	20		
4065	-500	20		
4066	-500	20		
4067	-500	20		
4068	-500	20		
4069	-500	20		
4070	-500	20		
4071	-500	20		
4072	-500	20		
4073	-500	20		
4074	-500	20		
4075	-500	20		
4076	-500	20		
4077	-500	20		
4078	-500	20		
4079	-500	20		
4080	-500	20		
4081	-500	20		
4082	-500	20		
4083	-500	20		
4084	-500	20		
4085	-500	20		
4086	-500	20		
4087	-500	20		
4088	-500	20		
4089	-500	20		
4090	-500	20		
4091	-500	20		
4092	-500	20		
4093	-500	20		
4094	-500	20		
4095	-500	20		
4096	-500	20		
4097	-500	20		
4098	-500	20		
4099	-500	20		
4100	-500	20		
4101	-500	20		
4102	-500	20		
4103	-500	20		
4104	-500	20		
4105	-500	20		
4106	-500	20		
4107	-500	20		
4108	-500	20		
4109	-500	20		
4110	-500	20		
4111	-500	20		
4112	-500	20		
4113	-500	20		
4114	-500	20		
4115	-500	20		
4116	-500	20		
4117	-500	20		
4118	-500	20		
4119	-500	20		
4120	-500	20		
4121	-500	20		
4122	-500	20		
4123	-500	20		
4124	-500	20		
4125	-500	20		
4126	-500	20		
4127	-500	20		
4128	-500	20		
4129	-500	20		
4130	-500	20		
4131	-500	20		
4132	-500	20		
4133	-500	20		
4134	-500	20		
4135	-500	20		
4136	-500	20		
4137	-500	20		
4138	-500	20		
4139	-500	20		
4140	-500	20		
4141	-500	20		
4142	-500	20		
4143	-500	20		
4144	-500	20		
4145	-500	20		
4146	-500	20		
4147	-500	20		
4148	-500	20		
4149	-500	20		
4150	-500	20		
4151	-500	20		
4152	-500	20		
4153	-500	20		
4154	-500	20		
4155	-500	20		
4156	-500	20		
4157	-500	20		
4158	-500	20		
4159	-500	20		
4160	-500	20		
4161	-500	20		
4162	-500	20		
4163	-500	20		
4164	-500	20		
4165	-500	20		
4166	-500	20		
4167	-500	22		
4168	-500	18		
4169	-500	12		
4170	-500	6		
4171	-500	0		
4172	-500	0		
4173	-500	0		
4174	-500	0		
4179	-500	0
