T	X	Y
2184	-926,24664	469,73752
2185	-930,0525	469,31277
2186	-933,6205	468,88806
2187	-937,6642	468,46335
2188	-941,2322	468,03864
2189	-945,038	467,1892
2190	-948,8439	466,33975
2191	-952,64966	465,0656
2192	-956,4555	464,2162
2193	-960,26135	463,36673
2194	-964,54297	462,5173
2195	-968,5867	461,66788
2196	-972,6304	460,3937
2197	-976,6741	459,11957
2198	-980,4799	456,99597
2199	-984,04785	454,02295
2200	-986,66437	450,6252
2201	-988,32947	447,22748
2202	-989,2809	442,98032
2203	-989,75665	439,15784
2204	-988,8052	435,3354
2205	-986,9023	431,51294
2206	-984,5236	428,1152
2207	-981,43134	425,5669
2208	-977,8634	423,4433
2209	-974,05756	421,74445
2210	-970,01385	421,3197
2211	-965,4944	421,74445
2212	-961,68854	423,868
2213	-958,35846	427,26575
2214	-955,2662	430,23877
2215	-953,1254	434,06125
2216	-951,4604	437,8837
2217	-950,27106	441,70615
2218	-950,5089	445,95334
2219	-951,4604	449,7758
2220	-953,60114	453,59824
2221	-956,21765	456,99597
2222	-959,30994	459,54428
2223	-963,35364	461,66788
2224	-967,39734	463,36673
2225	-971,6789	464,2162
2226	-975,7226	463,36673
2227	-979,7663	461,66788
2228	-983,3343	459,11957
2229	-986,4265	455,72183
2230	-989,043	451,89938
2231	-990,7081	448,0769
2232	-991,4217	444,25446
2233	-991,18384	440,0073
2234	-990,23236	435,7601
2235	-988,5673	432,36237
2236	-985,71295	428,96463
2237	-982,3828	425,9916
2238	-979,05273	423,868
2239	-975,00903	422,59387
2240	-970,9653	421,74445
2241	-966,6837	422,59387
2242	-962,64	423,868
2243	-959,30994	426,41632
2244	-956,21765	428,96463
2245	-953,60114	431,93765
2246	-952,17395	435,7601
2247	-951,2225	440,0073
2248	-951,4604	443,82974
2249	-952,64966	448,0769
2250	-954,31476	451,47467
2251	-956,9313	454,8724
2252	-960,0235	457,42072
2253	-963,5915	459,54428
2254	-967,39734	460,81845
2255	-971,2032	461,66788
2256	-975,2469	462,0926
2257	-979,05273	461,66788
2258	-982,8586	460,81845
2259	-986,4265	459,54428
2260	-990,23236	458,27014
